nama,jurusan,nama_instansi,divisi,tanggal_mulai,tanggal_akhir,status_magang,jenjang,ipk/nilai,mata_kuliah/pelajaran,skill_teknis,sertifikasi,pengalaman_magang,pengalaman_organisasi,proyek_dikerjakan
Rahmi Iswahyudi,IPS,SMAN 1 Banjaran,IKP,4/12/2020,6/17/2020,Selesai,SMA,88,"Geografi, Sejarah, Ekonomi, Bahasa Indonesia, Sosiologi","Python, SQL",Adobe Certified,Magang di Bank BJB,BEM,Aplikasi Mobile
Unjani Napitupulu,IPA,SMAN 1 Banjaran,IKP,4/5/2020,6/20/2020,Selesai,SMA,90,"Matematika, Kimia, Biologi, Fisika, Bahasa Inggris","Python, SQL",-,Magang di Bank BJB,OSIS,Penelitian Sosial
Cut Zelaya Mayasari,IPS,SMAN 1 Ciparay,IKP,4/4/2020,5/20/2020,Selesai,SMA,96,"Bahasa Indonesia, Sosiologi, Sejarah, Geografi, Ekonomi","AutoCAD, Excel",-,Magang di Diskominfo,-,Aplikasi Mobile
Virman Prasetya,Teknik Informatika,Universitas Bale Bandung,IKP,4/4/2020,5/20/2020,Selesai,S1,"3,17","Kecerdasan Buatan, Basis Data, Pemrograman Web, Jaringan Komputer, Algoritma","Excel, UI/UX",Microsoft Office Specialist,-,Himpunan Mahasiswa,Website Kampus
Cut Kamaria Megantara,Multimedia,SMKN 2 Baleendah,IKP,4/5/2020,6/12/2020,Selesai,SMK,91,"Desain 3D, Animasi, Editing Video, UI/UX, Fotografi","Excel, UI/UX",-,-,BEM,-
Tirtayasa Widiastuti,Multimedia,SMAN 1 Banjaran,IKP,4/17/2020,5/13/2020,Selesai,SMK,94,"Animasi, UI/UX, Desain Grafis, Fotografi, Editing Video","Python, SQL",-,Magang di Diskominfo,Himpunan Mahasiswa,Aplikasi Mobile
Maimunah Megantara,Teknik Sipil,Institut Teknologi Nasional Bandung,IKP,4/7/2020,5/18/2020,Selesai,S1,"2,97","Statika, Gambar Teknik, Manajemen Konstruksi, Hidrologi, Struktur Beton","AutoCAD, Excel",-,Magang di Bank BJB,OSIS,Website Kampus
Puti Natalia Sitompul,IPA,SMAN 1 Majalaya,IKP,4/25/2020,5/14/2020,Selesai,SMA,82,"Bahasa Inggris, Fisika, Biologi, Informatika, Kimia","Adobe, UI/UX",-,Magang di Diskominfo,BEM,Website Kampus
Uda Laksita,Sistem Informasi,Institut Teknologi Nasional Bandung,IKP,4/25/2020,5/14/2020,Selesai,S1,"3,25","Jaringan, Rekayasa Perangkat Lunak, Basis Data, Manajemen Proyek, Pemrograman","PHP, Java",-,Magang di Bank BJB,Himpunan Mahasiswa,-
Usyi Siregar,Teknik Informatika,Universitas Bale Bandung,PERSANDIAN,4/12/2020,5/22/2020,Selesai,S1,"2,8","Struktur Data, Basis Data, Pemrograman Web, Kecerdasan Buatan, Algoritma","Python, SQL",Microsoft Office Specialist,Magang di Bank BJB,BEM,Video Animasi
Salimah Prasasta,Teknik Sipil,Politeknik Piksi Ganesha Bandung,PERSANDIAN,4/26/2020,6/26/2020,Selesai,D3,"3,72","Hidrologi, Struktur Beton, Manajemen Konstruksi, Statika, Mekanika Tanah","Excel, UI/UX",Microsoft Office Specialist,-,Himpunan Mahasiswa,Penelitian Sosial
Jaga Napitupulu,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,PERSANDIAN,4/14/2020,6/26/2020,Selesai,S1,"3,55","Public Speaking, Sosiologi Komunikasi, Komunikasi Massa, Jurnalistik, Manajemen Media","Adobe, UI/UX",-,Magang di Telkom,-,-
Tina Widiastuti,IPS,SMKN 1 Katapang,PERSANDIAN,4/11/2020,6/14/2020,Selesai,SMA,84,"Ekonomi, PPKn, Bahasa Indonesia, Sejarah, Sosiologi","Excel, UI/UX",Adobe Certified,Magang di Telkom,-,Penelitian Sosial
Puti Hutagalung,IPS,SMAN 1 Ciparay,PERSANDIAN,4/12/2020,5/12/2020,Selesai,SMA,78,"Geografi, Sejarah, Sosiologi, PPKn, Bahasa Indonesia","Excel, UI/UX",Adobe Certified,Magang di Diskominfo,OSIS,Penelitian Sosial
 Sadina Gunawan,Teknik Informatika,Universitas Komputer Indonesia,PERSANDIAN,4/20/2020,5/14/2020,Selesai,S1,"3,65","Jaringan Komputer, Kecerdasan Buatan, Basis Data, Pemrograman Web, Struktur Data","Excel, UI/UX",-,-,-,Website Kampus
Daru Mayasari,IPS,SMAN 1 Majalaya,PERSANDIAN,4/12/2020,6/17/2020,Selesai,SMA,84,"PPKn, Sejarah, Bahasa Indonesia, Ekonomi, Geografi","AutoCAD, Excel",-,-,-,Website Kampus
Karimah Kuswoyo,RPL,SMAN 1 Majalaya,PERSANDIAN,4/5/2020,6/20/2020,Selesai,SMK,79,"Jaringan Komputer, PBO, Sistem Operasi, Basis Data, Pemrograman","AutoCAD, Excel",Adobe Certified,-,Himpunan Mahasiswa,-
Gawati Halim,Teknik Sipil,Universitas Komputer Indonesia,PERSANDIAN,4/4/2020,5/20/2020,Selesai,D3,"2,89","Mekanika Tanah, Struktur Beton, Gambar Teknik, Manajemen Konstruksi, Statika","AutoCAD, Excel",-,Magang di Diskominfo,-,Aplikasi Mobile
Cinta Widodo,Teknik Sipil,Institut Teknologi Nasional Bandung,PERSANDIAN,4/4/2020,5/20/2020,Selesai,D3,"2,9","Statika, Mekanika Tanah, Manajemen Konstruksi, Hidrologi, Gambar Teknik","AutoCAD, Excel",-,Magang di Bank BJB,BEM,Website Kampus
Koko Hidayanto,Sistem Informasi,Politeknik Piksi Ganesha Bandung,APTIKA,4/5/2020,6/12/2020,Selesai,S1,"3,17","Manajemen Proyek, Basis Data, Rekayasa Perangkat Lunak, Jaringan, Pemrograman","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,-,Penelitian Sosial
Yani Yulianti,Teknik Informatika,Universitas Bale Bandung,APTIKA,4/17/2020,5/13/2020,Selesai,S1,"3,6","Basis Data, Pemrograman Web, Jaringan Komputer, Kecerdasan Buatan, Struktur Data","PHP, Java",-,Magang di Telkom,OSIS,Website Kampus
Drajat Iswahyudi,RPL,SMAN 1 Ciparay,APTIKA,4/7/2020,5/18/2020,Selesai,SMK,83,"Sistem Operasi, Desain UI/UX, PBO, Jaringan Komputer, Basis Data","Python, SQL",-,Magang di Diskominfo,Himpunan Mahasiswa,-
Bambang Pradana,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,APTIKA,4/25/2020,5/14/2020,Selesai,S1,"3,08","Komunikasi Massa, Sosiologi Komunikasi, Manajemen Media, Jurnalistik, Fotografi","AutoCAD, Excel",Adobe Certified,-,Himpunan Mahasiswa,Penelitian Sosial
Reksa Wastuti,IPA,SMKN 1 Katapang,APTIKA,4/25/2020,5/14/2020,Selesai,SMA,85,"Informatika, Fisika, Bahasa Inggris, Kimia, Biologi","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Website Kampus
Fitria Maulana,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,APTIKA,4/12/2020,5/22/2020,Selesai,D3,"3,04","Manajemen Media, Fotografi, Jurnalistik, Public Speaking, Sosiologi Komunikasi","Adobe, UI/UX",Cisco CCNA,-,BEM,Website Kampus
